aX,aY,aZ,gX,gY,gZ
-0.065,0.103,0.979,2.136,-3.052,3.174
0.027,0.094,0.973,2.136,-3.296,3.113
0.035,0.030,0.971,2.136,-3.479,3.235
-0.053,0.022,0.978,2.075,-3.479,3.235
-0.088,0.083,0.981,2.319,-3.357,3.235
-0.010,0.109,0.978,2.380,-3.479,3.174
0.048,0.056,0.974,2.319,-3.540,3.174
-0.008,0.013,0.975,2.197,-3.418,3.235
-0.085,0.052,0.981,2.075,-3.296,3.113
-0.055,0.107,0.980,2.014,-3.418,3.113
0.032,0.089,0.974,2.014,-3.662,3.174
0.030,0.026,0.974,1.953,-3.540,3.357
-0.059,0.026,0.978,2.258,-3.540,3.296
-0.085,0.090,0.981,2.319,-3.540,3.113
0.000,0.106,0.976,2.136,-3.418,3.174
0.046,0.046,0.973,2.197,-3.357,3.174
-0.031,0.014,0.977,2.197,-3.296,3.235
-0.090,0.071,0.982,2.136,-3.357,3.174
-0.020,0.111,0.978,2.136,-3.418,3.113
0.048,0.059,0.972,2.197,-3.418,3.174
-0.013,0.013,0.974,2.136,-3.418,3.296
-0.090,0.061,0.981,1.953,-3.601,3.174
-0.035,0.110,0.979,2.136,-3.479,3.052
0.047,0.067,0.974,2.014,-3.296,3.174
-0.003,0.013,0.975,2.014,-3.296,3.296
-0.088,0.054,0.980,2.075,-3.235,3.296
-0.044,0.110,0.979,2.197,-3.418,3.174
0.044,0.073,0.974,2.258,-3.418,3.174
0.008,0.014,0.975,2.197,-3.357,3.235
-0.083,0.047,0.980,2.014,-3.235,3.174
-0.054,0.107,0.980,2.014,-3.479,3.174
0.038,0.081,0.973,2.197,-3.479,3.174
0.019,0.018,0.972,2.075,-3.357,3.174
-0.077,0.039,0.979,2.014,-3.479,3.235
-0.064,0.105,0.980,2.075,-3.540,3.296
0.032,0.088,0.975,2.136,-3.418,3.235
0.026,0.022,0.974,2.014,-3.479,3.113
-0.069,0.033,0.979,2.136,-3.418,3.174
-0.071,0.100,0.981,2.136,-3.418,3.174
0.028,0.093,0.974,2.075,-3.479,3.052
0.031,0.026,0.973,2.197,-3.418,3.052
-0.066,0.028,0.978,2.136,-3.418,3.174
-0.076,0.095,0.980,2.380,-3.357,3.052
0.019,0.097,0.976,2.258,-3.418,2.991
0.037,0.029,0.972,2.075,-3.418,3.235
-0.059,0.024,0.978,2.014,-3.235,3.235
-0.081,0.092,0.980,2.014,-3.296,3.296
0.012,0.103,0.977,2.014,-3.357,3.296
0.043,0.037,0.972,2.014,-3.357,3.418
-0.047,0.021,0.978,2.075,-3.296,3.296
-0.086,0.083,0.983,2.014,-3.418,3.113
-0.003,0.106,0.978,2.014,-3.357,2.930
0.047,0.047,0.973,2.197,-3.418,3.235
-0.028,0.016,0.974,2.441,-3.296,3.479
-0.089,0.069,0.977,2.441,-3.357,3.479
-0.025,0.110,0.977,2.319,-3.357,3.235
0.049,0.064,0.974,2.319,-3.357,2.991
0.005,0.016,0.976,2.014,-3.418,3.113
-0.055,0.028,0.979,2.136,-3.479,3.235
-0.073,0.045,0.979,2.197,-3.418,3.235
-0.071,0.047,0.978,2.014,-3.296,3.174
-0.056,0.035,0.976,2.197,-3.357,3.235
-0.018,0.026,0.977,2.258,-3.357,3.357
0.024,0.045,0.976,2.075,-3.357,3.357
0.005,0.088,0.978,2.197,-3.540,3.479
-0.060,0.074,0.980,2.197,-3.601,3.296
-0.018,0.031,0.976,1.953,-3.662,3.235
0.006,0.081,0.973,2.136,-3.601,3.601
-0.067,0.062,0.977,2.197,-3.601,3.235
0.010,0.035,0.975,1.953,-3.967,3.052
-0.001,0.086,0.977,1.831,-3.479,3.418
-0.064,0.087,0.985,1.831,-3.296,3.235
-0.060,0.047,0.984,1.709,-3.540,2.991
-0.024,0.027,0.978,1.953,-3.113,3.052
0.013,0.031,0.971,2.014,-3.174,2.930
0.032,0.043,0.968,1.953,-3.174,2.808
0.034,0.051,0.968,2.380,-2.991,2.930
0.039,0.054,0.973,2.380,-3.052,2.808
0.040,0.052,0.978,2.258,-3.052,2.747
0.039,0.043,0.978,2.563,-3.052,2.747
0.031,0.029,0.976,2.258,-3.235,2.686
0.010,0.018,0.974,1.953,-3.357,2.991
-0.023,0.018,0.974,1.831,-3.235,3.418
-0.060,0.032,0.975,1.831,-3.479,3.479
-0.083,0.060,0.978,1.892,-3.296,3.235
-0.071,0.095,0.980,1.892,-3.601,3.174
-0.022,0.109,0.978,2.075,-3.601,3.174
0.031,0.084,0.976,2.075,-3.540,3.235
0.040,0.040,0.974,2.136,-3.723,3.174
-0.012,0.015,0.976,2.136,-3.357,3.174
-0.076,0.039,0.979,2.136,-3.357,3.113
-0.077,0.091,0.980,2.258,-3.418,3.235
-0.008,0.107,0.976,2.136,-3.479,3.052
0.047,0.062,0.972,2.014,-3.479,3.174
0.011,0.015,0.974,2.014,-3.479,3.235
-0.068,0.031,0.980,2.197,-3.479,3.235
-0.079,0.090,0.983,1.953,-3.540,3.174
-0.002,0.107,0.980,2.075,-3.418,3.113
0.049,0.056,0.972,2.014,-3.357,3.235
-0.004,0.015,0.971,1.953,-3.540,3.296
-0.081,0.047,0.977,1.953,-3.723,3.357
-0.064,0.104,0.979,2.258,-3.845,3.174
0.024,0.094,0.976,2.197,-3.601,3.296
0.037,0.032,0.974,2.075,-3.601,3.296
-0.046,0.019,0.980,2.075,-3.601,3.174
-0.089,0.078,0.983,1.953,-3.174,3.235
-0.017,0.111,0.978,1.953,-3.113,3.113
0.050,0.061,0.974,1.770,-3.113,3.052
-0.002,0.015,0.973,1.953,-3.113,3.174
-0.083,0.051,0.979,1.953,-3.357,3.296
-0.052,0.108,0.979,2.075,-3.540,3.235
0.038,0.084,0.973,2.197,-3.418,3.052
0.026,0.021,0.972,2.075,-3.418,3.357
-0.068,0.031,0.978,2.136,-3.479,3.357
-0.076,0.095,0.981,2.075,-3.418,3.113
0.016,0.100,0.977,2.075,-3.601,3.174
0.041,0.035,0.973,2.014,-3.418,3.174
-0.045,0.020,0.979,1.953,-3.296,3.357
-0.087,0.082,0.980,2.014,-3.174,3.296
-0.005,0.109,0.974,1.953,-3.418,3.235
0.049,0.049,0.970,2.197,-3.479,3.235
-0.026,0.013,0.973,2.197,-3.601,3.174
-0.091,0.068,0.980,2.380,-3.540,3.174
-0.025,0.109,0.978,2.197,-3.540,3.052
0.048,0.062,0.974,2.075,-3.540,3.296
-0.008,0.013,0.976,2.136,-3.418,3.418
-0.088,0.055,0.981,1.953,-3.479,3.235
-0.042,0.111,0.977,1.892,-3.357,3.174
0.044,0.074,0.973,1.892,-3.418,3.235
0.009,0.016,0.975,2.014,-3.601,3.235
-0.083,0.046,0.982,2.319,-3.662,3.235
-0.058,0.108,0.982,2.258,-3.540,3.235
0.037,0.084,0.977,2.319,-3.357,3.174
0.022,0.018,0.975,2.258,-3.235,3.113
-0.073,0.035,0.980,2.075,-3.235,3.174
-0.066,0.103,0.980,2.197,-3.479,3.296
0.030,0.092,0.975,2.014,-3.662,3.174
0.031,0.024,0.971,1.770,-3.601,3.235
-0.066,0.031,0.978,1.892,-3.357,3.174
-0.074,0.097,0.979,2.075,-3.418,3.052
0.021,0.096,0.974,2.136,-3.479,3.113
0.036,0.029,0.971,2.441,-3.418,3.174
-0.061,0.022,0.978,2.136,-3.357,3.235
-0.081,0.091,0.981,2.136,-3.418,3.113
0.015,0.101,0.975,2.136,-3.235,2.991
0.041,0.034,0.973,1.892,-3.296,3.235
