aX,aY,aZ,gX,gY,gZ
0.010,-0.013,0.958,-5.371,-7.751,24.414
0.000,-0.005,0.962,-2.991,-9.277,28.931
-0.013,0.002,0.969,-0.854,-10.620,32.837
-0.019,0.012,0.985,1.160,-11.353,35.522
-0.040,0.018,0.993,2.380,-11.658,37.109
-0.074,0.001,0.986,3.296,-12.207,37.659
-0.123,-0.019,0.996,3.845,-13.916,37.109
-0.172,-0.028,1.001,2.502,-16.418,34.241
-0.211,-0.031,0.996,-0.183,-18.738,29.663
-0.227,-0.034,0.970,-2.014,-19.104,24.231
-0.222,-0.043,0.947,-2.258,-17.578,18.616
-0.188,-0.047,0.925,-1.587,-16.235,13.245
-0.155,-0.052,0.903,-0.610,-15.625,9.705
-0.119,-0.047,0.884,1.099,-16.052,8.484
-0.098,-0.037,0.869,3.357,-17.334,9.399
-0.096,-0.037,0.862,6.836,-18.921,11.841
-0.109,-0.039,0.870,10.193,-19.226,14.099
-0.119,-0.036,0.873,12.512,-18.433,14.771
-0.123,-0.032,0.871,14.160,-16.296,13.184
-0.117,-0.036,0.865,16.052,-13.611,10.437
-0.111,-0.056,0.861,18.372,-10.437,7.874
-0.118,-0.066,0.864,20.569,-7.141,6.348
-0.114,-0.064,0.866,22.949,-3.479,5.615
-0.102,-0.045,0.833,25.269,-1.282,4.700
-0.100,-0.032,0.843,31.372,-1.587,3.601
-0.085,-0.059,0.856,41.931,-0.305,4.150
-0.084,-0.068,0.860,50.903,0.427,7.263
-0.101,-0.081,0.855,59.143,0.610,10.925
-0.113,-0.084,0.851,67.078,2.441,13.855
-0.123,-0.109,0.893,77.087,5.188,17.151
-0.146,-0.156,0.912,86.609,7.996,20.203
-0.161,-0.177,0.931,90.942,9.705,21.851
-0.169,-0.202,0.957,92.773,10.986,21.973
-0.157,-0.226,0.952,92.102,13.672,21.484
-0.136,-0.253,0.978,89.722,14.160,20.386
-0.117,-0.262,0.961,86.060,12.695,18.127
-0.107,-0.269,0.974,81.238,10.376,16.663
-0.092,-0.280,0.975,77.271,8.423,16.418
-0.089,-0.285,1.000,72.327,5.432,16.296
-0.097,-0.302,1.027,67.566,2.380,15.869
-0.116,-0.300,1.005,59.448,0.122,15.686
-0.126,-0.314,1.040,51.270,-0.854,15.808
-0.132,-0.341,1.048,44.617,0.732,15.869
-0.134,-0.353,1.047,34.363,2.319,14.587
-0.126,-0.362,1.046,23.926,3.418,11.902
-0.117,-0.359,1.017,14.832,4.211,9.644
-0.118,-0.351,0.997,8.423,1.770,9.155
-0.128,-0.348,0.991,6.165,-2.502,9.277
-0.130,-0.351,0.992,6.531,-6.714,10.010
-0.129,-0.357,0.995,7.751,-11.108,10.620
-0.135,-0.368,1.001,7.996,-14.893,10.742
-0.140,-0.369,1.004,6.104,-16.968,10.010
-0.142,-0.361,1.001,3.174,-17.273,9.033
-0.142,-0.355,0.993,0.854,-16.541,8.179
-0.139,-0.355,0.982,-0.610,-15.259,7.446
-0.129,-0.346,0.970,-1.038,-14.893,6.348
-0.128,-0.342,0.962,0.366,-16.541,5.737
-0.143,-0.346,0.969,2.686,-19.714,5.676
-0.160,-0.352,0.974,4.272,-22.827,5.737
